twf_m0(97)=0+j-128, pre_bfly02(97)=0+j0, index1_re(97)=15, index1_im(97)=15, bfly02(97)=0+j0
twf_m0(98)=-6+j-128, pre_bfly02(98)=0+j0, index1_re(98)=15, index1_im(98)=15, bfly02(98)=0+j0
twf_m0(99)=-13+j-127, pre_bfly02(99)=0+j0, index1_re(99)=15, index1_im(99)=15, bfly02(99)=0+j0
twf_m0(100)=-19+j-127, pre_bfly02(100)=0+j0, index1_re(100)=15, index1_im(100)=15, bfly02(100)=0+j0
twf_m0(101)=-25+j-126, pre_bfly02(101)=0+j0, index1_re(101)=15, index1_im(101)=15, bfly02(101)=0+j0
twf_m0(102)=-31+j-124, pre_bfly02(102)=0+j0, index1_re(102)=15, index1_im(102)=15, bfly02(102)=0+j0
twf_m0(103)=-37+j-122, pre_bfly02(103)=0+j0, index1_re(103)=15, index1_im(103)=15, bfly02(103)=0+j0
twf_m0(104)=-43+j-121, pre_bfly02(104)=0+j0, index1_re(104)=15, index1_im(104)=15, bfly02(104)=0+j0
twf_m0(105)=-49+j-118, pre_bfly02(105)=0+j0, index1_re(105)=15, index1_im(105)=15, bfly02(105)=0+j0
twf_m0(106)=-55+j-116, pre_bfly02(106)=0+j0, index1_re(106)=15, index1_im(106)=15, bfly02(106)=0+j0
twf_m0(107)=-60+j-113, pre_bfly02(107)=0+j0, index1_re(107)=15, index1_im(107)=15, bfly02(107)=0+j0
twf_m0(108)=-66+j-110, pre_bfly02(108)=0+j0, index1_re(108)=15, index1_im(108)=15, bfly02(108)=0+j0
twf_m0(109)=-71+j-106, pre_bfly02(109)=0+j0, index1_re(109)=15, index1_im(109)=15, bfly02(109)=0+j0
twf_m0(110)=-76+j-103, pre_bfly02(110)=0+j0, index1_re(110)=15, index1_im(110)=15, bfly02(110)=0+j0
twf_m0(111)=-81+j-99, pre_bfly02(111)=0+j0, index1_re(111)=15, index1_im(111)=15, bfly02(111)=0+j0
twf_m0(112)=-86+j-95, pre_bfly02(112)=0+j0, index1_re(112)=15, index1_im(112)=15, bfly02(112)=0+j0
twf_m0(113)=-91+j-91, pre_bfly02(113)=0+j0, index1_re(113)=15, index1_im(113)=15, bfly02(113)=0+j0
twf_m0(114)=-95+j-86, pre_bfly02(114)=0+j0, index1_re(114)=15, index1_im(114)=15, bfly02(114)=0+j0
twf_m0(115)=-99+j-81, pre_bfly02(115)=0+j0, index1_re(115)=15, index1_im(115)=15, bfly02(115)=0+j0
twf_m0(116)=-103+j-76, pre_bfly02(116)=0+j0, index1_re(116)=15, index1_im(116)=15, bfly02(116)=0+j0
twf_m0(117)=-106+j-71, pre_bfly02(117)=0+j0, index1_re(117)=15, index1_im(117)=15, bfly02(117)=0+j0
twf_m0(118)=-110+j-66, pre_bfly02(118)=0+j0, index1_re(118)=15, index1_im(118)=15, bfly02(118)=0+j0
twf_m0(119)=-113+j-60, pre_bfly02(119)=0+j0, index1_re(119)=15, index1_im(119)=15, bfly02(119)=0+j0
twf_m0(120)=-116+j-55, pre_bfly02(120)=0+j0, index1_re(120)=15, index1_im(120)=15, bfly02(120)=0+j0
twf_m0(121)=-118+j-49, pre_bfly02(121)=0+j0, index1_re(121)=15, index1_im(121)=15, bfly02(121)=0+j0
twf_m0(122)=-121+j-43, pre_bfly02(122)=0+j0, index1_re(122)=15, index1_im(122)=15, bfly02(122)=0+j0
twf_m0(123)=-122+j-37, pre_bfly02(123)=0+j0, index1_re(123)=15, index1_im(123)=15, bfly02(123)=0+j0
twf_m0(124)=-124+j-31, pre_bfly02(124)=0+j0, index1_re(124)=15, index1_im(124)=15, bfly02(124)=0+j0
twf_m0(125)=-126+j-25, pre_bfly02(125)=0+j0, index1_re(125)=15, index1_im(125)=15, bfly02(125)=0+j0
twf_m0(126)=-127+j-19, pre_bfly02(126)=0+j0, index1_re(126)=15, index1_im(126)=15, bfly02(126)=0+j0
twf_m0(127)=-127+j-13, pre_bfly02(127)=0+j0, index1_re(127)=15, index1_im(127)=15, bfly02(127)=0+j0
twf_m0(128)=-128+j-6, pre_bfly02(128)=0+j0, index1_re(128)=15, index1_im(128)=15, bfly02(128)=0+j0
twf_m0(129)=128+j0, pre_bfly02(129)=-128+j0, index1_re(129)=15, index1_im(129)=15, bfly02(129)=-1024+j0
twf_m0(130)=128+j-3, pre_bfly02(130)=0+j0, index1_re(130)=15, index1_im(130)=15, bfly02(130)=0+j0
twf_m0(131)=128+j-6, pre_bfly02(131)=0+j0, index1_re(131)=15, index1_im(131)=15, bfly02(131)=0+j0
twf_m0(132)=128+j-9, pre_bfly02(132)=0+j0, index1_re(132)=15, index1_im(132)=15, bfly02(132)=0+j0
twf_m0(133)=127+j-13, pre_bfly02(133)=0+j0, index1_re(133)=15, index1_im(133)=15, bfly02(133)=0+j0
twf_m0(134)=127+j-16, pre_bfly02(134)=0+j0, index1_re(134)=15, index1_im(134)=15, bfly02(134)=0+j0
twf_m0(135)=127+j-19, pre_bfly02(135)=0+j0, index1_re(135)=15, index1_im(135)=15, bfly02(135)=0+j0
twf_m0(136)=126+j-22, pre_bfly02(136)=0+j0, index1_re(136)=15, index1_im(136)=15, bfly02(136)=0+j0
twf_m0(137)=126+j-25, pre_bfly02(137)=0+j0, index1_re(137)=15, index1_im(137)=15, bfly02(137)=0+j0
twf_m0(138)=125+j-28, pre_bfly02(138)=0+j0, index1_re(138)=15, index1_im(138)=15, bfly02(138)=0+j0
twf_m0(139)=124+j-31, pre_bfly02(139)=0+j0, index1_re(139)=15, index1_im(139)=15, bfly02(139)=0+j0
twf_m0(140)=123+j-34, pre_bfly02(140)=0+j0, index1_re(140)=15, index1_im(140)=15, bfly02(140)=0+j0
twf_m0(141)=122+j-37, pre_bfly02(141)=0+j0, index1_re(141)=15, index1_im(141)=15, bfly02(141)=0+j0
twf_m0(142)=122+j-40, pre_bfly02(142)=0+j0, index1_re(142)=15, index1_im(142)=15, bfly02(142)=0+j0
twf_m0(143)=121+j-43, pre_bfly02(143)=0+j0, index1_re(143)=15, index1_im(143)=15, bfly02(143)=0+j0
twf_m0(144)=119+j-46, pre_bfly02(144)=0+j0, index1_re(144)=15, index1_im(144)=15, bfly02(144)=0+j0
twf_m0(145)=118+j-49, pre_bfly02(145)=0+j0, index1_re(145)=15, index1_im(145)=15, bfly02(145)=0+j0
twf_m0(146)=117+j-52, pre_bfly02(146)=0+j0, index1_re(146)=15, index1_im(146)=15, bfly02(146)=0+j0
twf_m0(147)=116+j-55, pre_bfly02(147)=0+j0, index1_re(147)=15, index1_im(147)=15, bfly02(147)=0+j0
twf_m0(148)=114+j-58, pre_bfly02(148)=0+j0, index1_re(148)=15, index1_im(148)=15, bfly02(148)=0+j0
twf_m0(149)=113+j-60, pre_bfly02(149)=0+j0, index1_re(149)=15, index1_im(149)=15, bfly02(149)=0+j0
twf_m0(150)=111+j-63, pre_bfly02(150)=0+j0, index1_re(150)=15, index1_im(150)=15, bfly02(150)=0+j0
twf_m0(151)=110+j-66, pre_bfly02(151)=0+j0, index1_re(151)=15, index1_im(151)=15, bfly02(151)=0+j0
twf_m0(152)=108+j-68, pre_bfly02(152)=0+j0, index1_re(152)=15, index1_im(152)=15, bfly02(152)=0+j0
twf_m0(153)=106+j-71, pre_bfly02(153)=0+j0, index1_re(153)=15, index1_im(153)=15, bfly02(153)=0+j0
twf_m0(154)=105+j-74, pre_bfly02(154)=0+j0, index1_re(154)=15, index1_im(154)=15, bfly02(154)=0+j0
twf_m0(155)=103+j-76, pre_bfly02(155)=0+j0, index1_re(155)=15, index1_im(155)=15, bfly02(155)=0+j0
twf_m0(156)=101+j-79, pre_bfly02(156)=0+j0, index1_re(156)=15, index1_im(156)=15, bfly02(156)=0+j0
twf_m0(157)=99+j-81, pre_bfly02(157)=0+j0, index1_re(157)=15, index1_im(157)=15, bfly02(157)=0+j0
twf_m0(158)=97+j-84, pre_bfly02(158)=0+j0, index1_re(158)=15, index1_im(158)=15, bfly02(158)=0+j0
twf_m0(159)=95+j-86, pre_bfly02(159)=0+j0, index1_re(159)=15, index1_im(159)=15, bfly02(159)=0+j0
twf_m0(160)=93+j-88, pre_bfly02(160)=0+j0, index1_re(160)=15, index1_im(160)=15, bfly02(160)=0+j0
twf_m0(161)=91+j-91, pre_bfly02(161)=0+j0, index1_re(161)=15, index1_im(161)=15, bfly02(161)=0+j0
twf_m0(162)=88+j-93, pre_bfly02(162)=0+j0, index1_re(162)=15, index1_im(162)=15, bfly02(162)=0+j0
twf_m0(163)=86+j-95, pre_bfly02(163)=0+j0, index1_re(163)=15, index1_im(163)=15, bfly02(163)=0+j0
twf_m0(164)=84+j-97, pre_bfly02(164)=0+j0, index1_re(164)=15, index1_im(164)=15, bfly02(164)=0+j0
twf_m0(165)=81+j-99, pre_bfly02(165)=0+j0, index1_re(165)=15, index1_im(165)=15, bfly02(165)=0+j0
twf_m0(166)=79+j-101, pre_bfly02(166)=0+j0, index1_re(166)=15, index1_im(166)=15, bfly02(166)=0+j0
twf_m0(167)=76+j-103, pre_bfly02(167)=0+j0, index1_re(167)=15, index1_im(167)=15, bfly02(167)=0+j0
